Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Inference Time
87,0.5194174757,0.7598210926,0.4579237963,0.445253318,0.718066316,0.0001855213481
88,0.1944167498,0.3629314757,0.2549672632,0.1534182946,0.6188063898,0.0001546272202
89,0.898,0.901396786,0.898,0.8986160515,0.9433333333,0.0002259699345
90,0.8942857143,0.9042226558,0.8942857143,0.8891654946,0.9430769231,0.0002269766525
91,0.3706327877,0.8106149182,0.3997595208,0.4018498586,0.691698234,0.0001455660783
92,0.2404844291,0.2844544086,0.369843408,0.2190370038,0.6780669931,0.0001327415603
93,0.1797131148,0.3668568893,0.2038818588,0.1187623507,0.5947966879,0.000130839843
94,0.2381653176,0.5721245243,0.2060460768,0.1980478775,0.5962560012,0.0001528926294
95,0.2858799652,0.6974874056,0.2806600273,0.2429954868,0.6305297502,0.0001591458953
96,0.2641196013,0.3806403897,0.3665046353,0.2229064922,0.6754788735,0.0001627241401
97,0.2062357414,0.3330385922,0.2516091959,0.1669947742,0.6208676221,0.000138193281
98,0.5883911368,0.7495079378,0.4211966414,0.4674915504,0.7065045412,0.0001500090141
99,0.2238674423,0.2912481753,0.249664983,0.1490192343,0.6192394863,0.0001315576669
100,0.6392694064,0.8688933653,0.6155297839,0.662211403,0.7787192394,0.000720826186
101,0.9508196721,0.9522691459,0.9507606679,0.9508642776,0.9729208696,0.0002867601865
102,0.226006192,0.3780083646,0.3610710641,0.1933689021,0.6731523886,0.0001406635794
103,0.2595614482,0.5924669542,0.2980382159,0.1945556692,0.6363550664,0.0001643057079
104,0.2014977118,0.3083856808,0.3001382105,0.1795035536,0.6455518145,0.0001337991607
105,0.4849432929,0.8039353053,0.5206084075,0.4981788733,0.7497492622,0.0001342297048
106,0.2090623598,0.4162829955,0.2376195552,0.1566049727,0.6138290319,0.0001325966621
107,0.18909878,0.4104300845,0.2127451468,0.1545181801,0.5998729387,0.0001273652206
108,0.8394255875,0.7692039828,0.7576470588,0.7318544189,0.8737709497,0.0002304610157
109,0.1831754696,0.3539328837,0.2536020941,0.1501780476,0.6215893597,0.000130861022
110,0.94,0.9422368269,0.94,0.9400160968,0.96625,0.0002837006251
111,0.1680659441,0.2648974091,0.2298176671,0.1061398696,0.6094653292,0.0001395683022
112,0.9361277445,0.9408640423,0.936,0.9360712573,0.9644503572,0.0002227520039
113,0.6047691527,0.5152630411,0.5976061427,0.5169914055,0.7937342712,0.0001763268542
114,0.5129124821,0.7885132798,0.4487348206,0.4445923478,0.7063243176,0.0001828859248
115,0.8875502008,0.8923744705,0.8867694717,0.886560068,0.9404247352,0.0001918580398
116,0.936,0.9401284768,0.936,0.9366178459,0.96,0.0003811511993
