Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
81,84.78,12.55,81.86,81.89,7092.38,102951.16,17663.82,3,74,10,55,0,9,(kmnist:0-1-2-3-4-5-6-7-9-)(emnist:0-1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-38-39-40-41-42-43-44-46-47-48-49-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-6-7-8-9-)
82,95.46,36.32,92.5,93.93,2576.43,48541.81,12554.49,4,28,8,8,3,9,(fmnist:4-6-9-)(kmnist:0-1-3-4-5-6-7-8-9-)(mnist:0-2-3-4-5-7-8-9-)(emnist:6-8-12-15-40-43-55-58-)
83,83.56,12.24,80.66,80.16,6061.01,124581.2,31569.94,4,82,7,62,5,8,(mnist:0-1-2-3-6-7-9-)(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:2-3-4-5-6-7-8-9-)(fmnist:0-1-3-6-8-)
84,83.07,14.27,80.82,79.97,6656.84,144066.1,18026.93,4,82,5,57,10,10,(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-5-6-9-)(emnist:0-1-3-4-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:0-1-2-3-4-5-6-7-8-9-)
85,94.06,91.51,92.56,93.14,978.12,2130.7,2202.23,2,8,2,0,0,6,(mnist:0-1-)(kmnist:0-1-2-7-8-9-)
86,83.64,11.7,81.55,81.52,6332.61,84873.33,26135.64,3,80,10,62,8,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-6-7-8-9-)(fmnist:0-1-2-3-4-5-8-9-)
87,83.32,9.86,80.43,80.79,5917.24,78831.32,19904.06,3,76,9,61,0,6,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-7-8-9-)(kmnist:1-2-4-6-7-9-)
88,94.66,86.86,91.83,92.62,1464.16,11434.69,4263.12,2,14,6,0,0,8,(kmnist:0-1-3-4-5-6-7-8-)(mnist:0-1-2-4-7-9-)
89,92.77,60.28,86.34,92.95,1428.68,7725.01,3278.42,4,14,5,1,7,1,(fmnist:0-1-2-4-6-7-9-)(kmnist:7-)(emnist:24-)(mnist:0-2-3-5-6-)
90,97.93,94.33,96.3,98.23,271.9,474.4,536.15,2,3,0,0,1,2,(kmnist:5-9-)(fmnist:0-)
